CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,77183.6,2
12347,2,7,4310.0,1
12348,75,4,1797.24,7
12349,18,1,1757.55,7
12350,310,1,334.4,4
12352,36,8,2506.04,1
12353,204,1,89.0,0
12354,232,1,1079.4,4
12355,214,1,459.4,0
12356,22,3,2811.43,7
12357,33,1,6207.67,7
12358,1,2,1168.06,7
12359,57,4,6310.03,7
12360,52,3,2662.06,7
12361,287,1,189.9,4
12362,3,10,5226.23,1
12363,109,2,552.0,0
12364,7,4,1313.1,7
12365,291,2,641.38,4
12367,4,1,168.9,7
12370,51,4,3541.94,7
12371,44,2,1887.96,7
12372,71,3,1298.04,7
12373,311,1,364.6,4
12374,25,1,742.9300000000001,7
12375,10,2,457.5,7
12377,315,2,1628.12,4
12378,129,1,4008.62,0
12379,81,2,852.24,7
12380,21,4,2724.81,7
12381,4,5,1845.31,7
12383,184,5,1850.56,0
12384,28,2,585.27,7
12386,337,2,401.9,4
12388,15,6,2780.66,1
12390,79,1,549.84,7
12391,21,1,439.66,7
12393,72,4,1582.6000000000001,7
12394,63,2,1272.48,7
12395,19,12,3018.63,1
12397,35,2,2409.9,7
12398,45,1,1635.6599999999999,7
12399,119,4,1108.65,0
12401,303,1,84.3,4
12402,323,1,225.6,4
12403,49,1,427.7,7
12405,148,1,1710.39,0
12406,22,2,3415.3,7
12407,49,5,1708.1200000000001,7
12408,32,5,2888.55,7
12409,78,3,11072.67,7
12410,308,2,693.3299999999999,4
12412,74,3,1226.88,7
12413,66,3,758.1,7
12414,217,3,562.41,0
12415,24,21,124914.53,2
12417,3,9,3649.1,1
12418,112,1,668.58,0
12420,63,1,600.39,7
12421,15,4,807.04,7
12422,95,3,803.5600000000001,7
12423,0,8,1859.31,1
12424,162,2,1760.96,0
12425,78,1,777.2,7
12426,194,1,582.73,0
12427,21,3,825.8,7
12428,25,9,7956.46,1
12429,9,4,3750.4,7
12430,43,1,256.4,7
12431,35,15,6419.95,1
12432,42,5,5059.32,7
12433,0,7,13375.87,1
12434,84,2,806.14,7
12435,79,2,7829.89,7
12436,99,1,509.01,7
12437,1,18,4951.41,5
12438,14,2,2906.85,7
12441,366,1,173.55,4
12442,3,1,172.06,7
12444,21,5,5005.46,1
12445,22,1,133.4,7
12446,57,1,1002.3100000000001,7
12447,243,1,476.49,4
